Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 11 2015,10:30 PM,San Antonio Spurs,113,Portland Trail Blazers,101,Box Score,,19393,
Wed Nov 11 2015,10:00 PM,Detroit Pistons,92,Sacramento Kings,101,Box Score,,17317,
Thu Nov 12 2015,7:30 PM,Utah Jazz,91,Miami Heat,92,Box Score,,19600,
Thu Nov 12 2015,8:00 PM,Golden State Warriors,129,Minnesota Timberwolves,116,Box Score,,16130,
Thu Nov 12 2015,10:30 PM,Los Angeles Clippers,104,Phoenix Suns,118,Box Score,,17204,
Fri Nov 13 2015,7:30 PM,Atlanta Hawks,93,Boston Celtics,106,Box Score,,17138,
Fri Nov 13 2015,8:00 PM,Charlotte Hornets,97,Chicago Bulls,102,Box Score,,21749,
Fri Nov 13 2015,8:30 PM,Los Angeles Lakers,82,Dallas Mavericks,90,Box Score,,20260,
Fri Nov 13 2015,9:00 PM,Houston Rockets,98,Denver Nuggets,107,Box Score,,16113,
Fri Nov 13 2015,7:00 PM,Minnesota Timberwolves,103,Indiana Pacers,107,Box Score,,16797,
Fri Nov 13 2015,8:00 PM,Portland Trail Blazers,100,Memphis Grizzlies,101,Box Score,,16919,
Fri Nov 13 2015,7:30 PM,Cleveland Cavaliers,90,New York Knicks,84,Box Score,,19812,
Fri Nov 13 2015,8:00 PM,Philadelphia 76ers,85,Oklahoma City Thunder,102,Box Score,,18203,
Fri Nov 13 2015,7:00 PM,Utah Jazz,93,Orlando Magic,102,Box Score,,16709,
Fri Nov 13 2015,10:00 PM,Brooklyn Nets,109,Sacramento Kings,111,Box Score,,17131,
Fri Nov 13 2015,7:30 PM,New Orleans Pelicans,81,Toronto Raptors,100,Box Score,,19800,
Sat Nov 14 2015,10:30 PM,Brooklyn Nets,99,Golden State Warriors,107,Box Score,OT,19596,
Sat Nov 14 2015,8:00 PM,Dallas Mavericks,110,Houston Rockets,98,Box Score,,18231,
Sat Nov 14 2015,3:30 PM,Detroit Pistons,96,Los Angeles Clippers,101,Box Score,,19060,
Sat Nov 14 2015,8:30 PM,Cleveland Cavaliers,105,Milwaukee Bucks,108,Box Score,2OT,18717,
Sat Nov 14 2015,9:00 PM,Denver Nuggets,81,Phoenix Suns,105,Box Score,,16722,
Sat Nov 14 2015,8:30 PM,Philadelphia 76ers,83,San Antonio Spurs,92,Box Score,,18418,
Sat Nov 14 2015,7:00 PM,Orlando Magic,99,Washington Wizards,108,Box Score,,18311,
Sun Nov 15 2015,6:00 PM,Utah Jazz,97,Atlanta Hawks,96,Box Score,,14436,
Sun Nov 15 2015,5:00 PM,Portland Trail Blazers,94,Charlotte Hornets,106,Box Score,,15317,
Sun Nov 15 2015,9:30 PM,Detroit Pistons,85,Los Angeles Lakers,97,Box Score,,18997,
Sun Nov 15 2015,3:30 PM,Memphis Grizzlies,114,Minnesota Timberwolves,106,Box Score,,12086,
Sun Nov 15 2015,12:00 PM,New Orleans Pelicans,87,New York Knicks,95,Box Score,,19812,
Sun Nov 15 2015,7:00 PM,Boston Celtics,100,Oklahoma City Thunder,85,Box Score,,18203,
Sun Nov 15 2015,9:00 PM,Toronto Raptors,101,Sacramento Kings,107,Box Score,,17006,
Mon Nov 16 2015,8:00 PM,Indiana Pacers,95,Chicago Bulls,96,Box Score,,21660,
Mon Nov 16 2015,8:00 PM,Boston Celtics,111,Houston Rockets,95,Box Score,,17005,
Mon Nov 16 2015,8:00 PM,Oklahoma City Thunder,114,Memphis Grizzlies,122,Box Score,,17270,
Mon Nov 16 2015,7:00 PM,Dallas Mavericks,92,Philadelphia 76ers,86,Box Score,,11555,
Mon Nov 16 2015,9:00 PM,Los Angeles Lakers,101,Phoenix Suns,120,Box Score,,18055,
Mon Nov 16 2015,8:30 PM,Portland Trail Blazers,80,San Antonio Spurs,93,Box Score,,18418,
Tue Nov 17 2015,7:30 PM,Atlanta Hawks,88,Brooklyn Nets,90,Box Score,,12241,
Tue Nov 17 2015,7:30 PM,Cleveland Cavaliers,99,Detroit Pistons,104,Box Score,,18442,
Tue Nov 17 2015,10:30 PM,Toronto Raptors,110,Golden State Warriors,115,Box Score,,19596,
Tue Nov 17 2015,7:30 PM,Minnesota Timberwolves,103,Miami Heat,91,Box Score,,19600,
Tue Nov 17 2015,8:00 PM,Denver Nuggets,115,New Orleans Pelicans,98,Box Score,,17269,
Tue Nov 17 2015,7:30 PM,Charlotte Hornets,94,New York Knicks,102,Box Score,,19812,
Tue Nov 17 2015,7:00 PM,Milwaukee Bucks,86,Washington Wizards,115,Box Score,,15485,
Wed Nov 18 2015,8:00 PM,Sacramento Kings,97,Atlanta Hawks,103,Box Score,,13008,
Wed Nov 18 2015,7:30 PM,Dallas Mavericks,106,Boston Celtics,102,Box Score,,17262,
Wed Nov 18 2015,7:00 PM,Brooklyn Nets,111,Charlotte Hornets,116,Box Score,,14040,
